日付,エンゲージ ビュー,チャンネル登録者,平均再生率（%） (%),追加された動画,公開済みの動画,インプレッション数,インプレッションのクリック率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,ライトな視聴者,コアな視聴者,ハイプ,ハイプポイント,登録者増加数,登録者減少数,高評価数,低評価数,高評価率（低評価比） (%),共有数,コメントの追加回数,売上合計 (JPY),注文数,承認済みのコミッション (JPY),保留中のコミッション (JPY),返却された商品 (JPY),YouTube Premium の視聴回数,YouTube Premium 総再生時間（単位: 時間）,再生リストの総再生時間（単位: 時間）,再生リストからの視聴,再生リスト開始あたりの再生回数,ストリーミング時間,設定されているリマインダーの数,チャット メッセージ,リアクション,投稿のインプレッション,投稿の高評価,投稿の高評価率 (%),投稿のチャンネル登録者,投稿の回答,投稿の返信率 (%),リミックス数,リミックス視聴回数,コミュニティ クリップの視聴回数,コミュニティ クリップから発生した総再生時間（単位は時間）,カードのクリック数,カードの表示回数,カード ティーザーの表示回数,カードのティーザーのクリック数,カード表示 1 回あたりのクリック数 (%),カード ティーザー表示 1 回あたりのクリック数 (%),終了画面要素のクリック数,終了画面要素の表示回数,終了画面要素のクリック率 (%),視聴回数,総再生時間（単位: 時間）,平均視聴時間
2024-08-15,2250,1,131.56,,,1474,2.65,29.49,2118,1.0623,1422,696,696,0,0,0,1,0,39,2,95.12,0,1,,,,,,6,0.0278,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2250,13.3582,0:00:21
2025-09-04,2246,0,97.46,,,2514,2.43,39.09,2058,1.0914,1269,789,780,9,0,0,1,1,6,2,75,0,0,,,,,,10,0.0306,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2321,9.8161,0:00:15
2024-08-29,2231,-1,185.93,,,1508,2.72,40.72,2182,1.0225,1665,517,517,0,0,0,0,1,67,20,77.01,1,0,,,,,,1,0.0013,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2231,18.6811,0:00:30
2024-08-21,2219,-1,146.04,,,3357,1.7,36.02,2077,1.0684,1312,765,765,0,0,0,0,1,33,0,100,0,0,,,,,,1,0.0034,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2219,14.4283,0:00:23
2024-04-16,2217,0,115.22,,,1617,2.41,41,2082,1.0648,1154,928,928,0,0,0,0,0,26,4,86.67,1,0,,,,,,3,0.0175,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2217,12.7849,0:00:20
2025-10-17,2217,1,141.17,,,2128,3.62,41.14,2084,1.0638,1269,815,808,7,0,0,1,0,-2,7,-40,0,0,,,,,,26,0.0762,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,41484,34.177,0:00:22
2024-02-05,2207,0,73.14,6,3,2687,1.82,31.78,2078,1.0621,1757,298,298,0,0,0,3,3,22,6,78.57,0,2,,,,,,117,0.4123,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2207,8.1118,0:00:13
2024-01-30,2199,1,81.47,0,3,1762,4.03,32.79,2065,1.0649,1756,309,309,0,0,0,5,4,21,-5,131.25,0,0,,,,,,147,0.4728,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2199,9.1001,0:00:14
2024-08-25,2194,0,145.35,,,1866,2.52,21.46,2064,1.063,1287,777,777,0,0,0,0,0,39,-4,111.43,0,0,,,,,,3,0.0147,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2194,14.7737,0:00:24
2025-02-23,2191,-1,124.59,,,2628,3.69,35.25,2030,1.0793,1281,749,749,0,0,0,0,1,59,18,76.62,0,0,,,,,,2,0.008,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2191,12.4295,0:00:20
2024-09-06,2189,0,113.13,,,1626,2.28,52,2115,1.035,1376,739,739,0,0,0,0,0,54,-8,117.39,0,0,,,,,,0,0,,,,,0,,,,,,0,,,,,0,0,0,0,0,0,,,0,0,,2189,10.9194,0:00:17
