順位,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数
93,しなこ,しなこワールド,【MV】しなこワールド🌷💜 /  あぃりDX・しなこ,t9aH2sZJpP8,41655687,107161,0.26,4939,64985.5,641
94,NEWS,チャンカパーナ,NEWS – チャンカパーナ [Official Music Video],Ou1UG_PC43Q,27682317,249144,0.9,9047,64678.3,428
95,ハチ,ドーナツホール,"ハチ - ドーナツホール 2024 , HACHI - DONUT HOLE 2024",y7fu_nNQAEQ,28159633,553570,1.97,16666,64291.4,438
96,CUTIE STREET,ひたむきシンデレラ！,【MV】CUTIE STREET「ひたむきシンデレラ！」,AtDErGSpfYQ,21361160,174681,0.82,12080,63764.7,335
97,ano,ハッピーラッキーチャッピー,ano「ハッピーラッキーチャッピー 」× アニメ『タコピーの原罪』Collaboration Music Video,s7FgdaGOw9s,9304170,138795,1.49,3479,63727.2,146
98,YOASOBI,三原色,YOASOBI「三原色」Official Music Video,nhOhFOoURnE,101132311,684839,0.68,15213,62312.0,1623
99,いよわ feat.可不,きゅうくらりん,きゅうくらりん / いよわ feat.可不（Kyu-kurarin / Iyowa feat.Kafu）,2b1IexhKPz4,94597258,909354,0.96,29499,60406.9,1566
100,King Gnu,ねっこ,King Gnu - ねっこ,jz8O2t2r8Gs,22266220,148668,0.67,8147,59376.6,375
101,Novelbright,ツキミソウ,Novelbright - ツキミソウ [Official Music Video],WAMxwRtNrPY,107274585,432695,0.4,10055,58748.4,1826
102,B小町,POP IN 2,POP IN 2,QgxYScXawEE,25008006,222754,0.89,0,58158.2,430
103,ナナヲアカリ,明日の私に幸あれ,明日の私に幸あれ / ナナヲアカリ,Z2icQoPrX9M,18584223,236502,1.27,4924,57894.8,321
104,WANIMA,ともに,WANIMA - ともに (OFFICIAL VIDEO),qag4ewos4TE,197982228,701260,0.35,27864,57855.7,3422
105,ピノキオピー,神っぽいな feat. 初音ミク,ピノキオピー - 神っぽいな feat. 初音ミク / God-ish,EHBFKhLUVig,87779682,842963,0.96,15934,56741.9,1547
106,STARGLOW,Moonchaser,STARGLOW / Moonchaser -Music Video-,FTXk6epFQdM,4585159,108257,2.36,13457,56606.9,81
107,Snow Man,D.D.,Snow Man「D.D.」MV (YouTube ver.),rSD7jb4Xjq8,122528244,0,0.0,333056,56231.4,2179
108,Official髭男dism,Same Blue,Official髭男dism - Same Blue [Official Video],A7cp6OVa0Qc,24248733,170927,0.7,11260,55616.4,436
109,原宿ヒーローズ,コドモオトナヒーロー,【MV】コドモオトナヒーロー/しなこ・竹ぱら・リアピ(原宿ヒーローズ),rTOraeetj9w,13798610,41427,0.3,3519,54756.4,252
110,ずっと真夜中でいいのに。,秒針を噛む,ずっと真夜中でいいのに。『秒針を噛む』MV (ZUTOMAYO – Byoushinwo Kamu),GJI4Gv7NbmE,149653022,1152582,0.77,31697,54478.7,2747
111,不破湊,一旦ステイ　TONIGHT,【MV】一旦ステイ TONIGHT / 不破湊,xbHcDKJ1vpA,20331680,248046,1.22,6974,53930.2,377
112,ME:I,Click,ME:I (ミーアイ) ⊹ 'Click' Official MV,G-LdNMa99oQ,33351943,270830,0.81,39909,53192.9,627
113,FANTASTICS from EXILE TRIBE,STARBOYS,Starboy,plnfIj7dkJE,147793439,1091635,0.74,4689,52915.7,2793
114,DECO*27,ヒバナ,【Ado】ヒバナ 歌いました,EFsSYiNl2AQ,12030542,205583,1.71,3998,52080.3,231
115,あいみょん,ハルノヒ,あいみょん – ハルノヒ【OFFICIAL MUSIC VIDEO】,pfGI91CFtRg,126121249,382925,0.3,13237,51583.3,2445
116,水曜日のカンパネラ,エジソン,水曜日のカンパネラ『エジソン』,8tOIjOPZ5sA,70061422,426623,0.61,11916,50549.4,1386
117,milet×Aimer×幾田りら,おもかげ,milet×Aimer×幾田りら - おもかげ (produced by Vaundy) / THE FIRST TAKE,Z2Z9V-4DMGw,72500307,687771,0.95,15923,49828.4,1455
118,Mrs. GREEN APPLE,ナハトムジーク,Mrs. GREEN APPLE「ナハトムジーク」Official Music Video,Dsylo684yWA,34443583,253271,0.74,10459,49559.1,695
119,シカ部,シカ色デイズ,シカ色デイズ,fxPcJTU-A8U,25568756,285838,1.12,0,48888.6,523
120,ROF-MAO,Bring it on,ROF-MAO - Bring it on,8xZREULMjVM,24377213,0,0.0,6217,48271.7,505
121,FRUITS ZIPPER,かがみ,【MV】FRUITS ZIPPER「かがみ」,IU3AvcU4mjs,14838395,119627,0.81,7324,47106.0,315
122,YOASOBI,BIRI-BIRI,YOASOBI「Biri-Biri」 Official Music Video,shZyg5VFI1Y,35497072,427476,1.2,0,47078.3,754
123,シャイトープ,ランデヴー,ランデヴー,OGrGg8TvEjU,38722702,187745,0.48,358,46430.1,834
124,優里,カーテンコール,カーテンコール,gpdh9AUzQjY,23538923,115918,0.49,135,46064.4,511
125,優里,ベテルギウス,優里『ベテルギウス』Official Music Video,cbqvxDTLMps,68043705,414017,0.61,7273,45851.6,1484
126,Snow Man,BREAKOUT,Snow Man「BREAKOUT」Dance Practice,LBaeKssNPuE,22718980,156532,0.69,10167,45529.0,499
127,稲葉曇,ラグトレイン,稲葉曇『ラグトレイン』Vo. 歌愛ユキ,UnIhRpIT7nc,88442791,1176842,1.33,21561,44781.2,1975
128,Snow Man,Ｗ,Snow Man「W」Music Video YouTube Ver.,_QnW6gWUDUU,44440249,0,0.0,21842,43740.4,1016
129,ツミキ,フォニイ,フォニイ / phony - kafu [オリジナル],9QLT1Aw_45s,71987495,682554,0.95,13679,43602.4,1651
130,マサラダ,㋰責任集合体,㋰責任集合体／重音テトSV,c5_0NPftdlY,24873715,344563,1.39,7502,42885.7,580
131,ピノキオピー,転生林檎 feat. 初音ミク,ピノキオピー - 転生林檎 feat. 初音ミク / Reincarnation Apple,LYWP8HtgeLQ,54826556,551317,1.01,9083,42567.2,1288
132,Kanaria,酔いどれ知らず feat.GUMI,【GUMI】酔いどれ知らず【Kanaria】,vB8sxY_PJ_w,55832873,557027,1.0,13670,42297.6,1320
133,しなこ,歯ラ歯ラ,【MV】歯ラ歯ラ🦷🪥✨,GTnMIACX6TM,17603509,55937,0.32,2915,41913.1,420
134,MY FIRST STORY,I'm a mess,MY FIRST STORY - I'm a mess (Audio),ma4lm5eAdvg,66143090,389418,0.59,5692,41031.7,1612
135,aiko,相思相愛,aiko-『相思相愛』music video,VmSNNOTB_FE,24848519,0,0.0,6629,41004.2,606
136,Reol,第六感,Reol - '第六感 / THE SIXTH SENSE' Music Video,Ue6VQTcKPQo,80416155,773085,0.96,18174,40986.8,1962
137,幾田りら,百花繚乱,幾田りら「百花繚乱」 Official Music Video,3Fz17pPuI4k,11383557,143577,1.26,1943,40801.3,279
138,コムドット,拝啓、俺たちへ,コムドット「拝啓、俺たちへ」Official Music Video,Pyum09A4-SQ,22702572,256943,1.13,16568,40468.0,561
139,TK from 凛として時雨,unravel,TK from 凛として時雨 『unravel』 Music Video(Full Size),Fve_lHIPa-I,79153062,1058124,1.34,25105,40220.1,1968
140,コレサワ,元彼女のみなさまへ,コレサワ「元彼女のみなさまへ」【Lyric Video】,B36u-tuublE,18508864,133540,0.72,2495,39975.9,463
141,優里,かくれんぼ,AliA / かくれんぼ【Official Music Video】,oi8ArKYLwBY,98376566,791120,0.8,19700,39461.1,2493
142,結束バンド,ギターと孤独と蒼い惑星,【Lyric Video】結束バンド「ギターと孤独と蒼い惑星」／ TVアニメ「ぼっち・ざ・ろっく！」第5話劇中曲,B7BxrAAXl94,44427583,380966,0.86,8835,39247.0,1132
143,FRUITS ZIPPER,NEW KAWAII,【MV】FRUITS ZIPPER「NEW KAWAII」,7Am9TCA3WrA,24268820,118122,0.49,5217,39206.5,619
144,宝鐘マリン,パイパイ仮面でどうかしらん？,【original anime MV】パイパイ仮面でどうかしらん？【hololive/宝鐘マリン】,hv2vo94FOF4,17665556,289007,1.64,9915,39083.1,452
145,Orangestar (feat. 夏背 & ルワン),Surges,Orangestar - Surges (feat. 夏背 & ルワン) / カロリーメイト web movie,QvWsAIc5mO8,61116230,591233,0.97,16422,38607.9,1583
146,AiScReam,愛♡スクリ～ム!,AiScReam『愛♡スクリ～ム！』Music Video,8Yy7Jzle338,3909803,149234,3.82,6294,37959.3,103
147,ヨルシカ,アポリア,ヨルシカ - アポリア（OFFICIAL VIDEO）,fhTFysCtF6g,16224585,145431,0.9,3098,37731.6,430
148,てれび戦士,ハローハロー,Snow Man「HELLO HELLO」Music Video YouTube Ver.,VpjkFGiRQO8,61862137,0,0.0,41136,37583.3,1646
149,=LOVE,絶対アイドル辞めないで,＝LOVE（イコールラブ）/ 17th Single『絶対アイドル辞めないで』【MV full】,17NBPoc78oM,20065627,123643,0.62,13992,37366.2,537
150,MIMI,今はいいんだよ。,今はいいんだよ。 / MIMI【Covered by Kotoha】,PgCc3OMrS8c,39058083,297470,0.76,9228,37092.2,1053
151,B’z,ultra soul,B’z / ultra soul【B'z LIVE-GYM Pleasure 2018 -HINOTORI-】,OxnzZqisYTg,12201555,55247,0.45,2113,36314.2,336
