順位,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数
345,由紀 さおり・安田 祥子,手のひらを太陽に,【♪うたアニメ】手のひらを太陽に〈うた：いっちー＆なる〉ぼくらはみんな　生きている〜♪【童謡・こどものうた】,7vsl87kKdFM,1804786,2627,0.15,0,2287.4,789
346,ハムちゃんず,ハム太郎とっとこうた,【アニメ】「ハム太郎とっとこうた」　（歌：ハムちゃんず）【公式】とっとこハム太郎のオープニングテーマ曲　その１,Lg96zmH7D7w,3455819,25202,0.73,913,2284.1,1513
347,Little Glee Monster,世界はあなたに笑いかけている,世界はあなたに笑いかけている,dKKcSFWZ_vY,5461327,20337,0.37,104,2075.0,2632
348,⽯井あみ＆後本萌葉,FUN☆FUN☆わんだふるDAYS!,FUN☆FUN☆わんだふるDAYS！,1ikx1Dkf_Us,1143436,5496,0.48,0,1921.7,595
349,After the Rain (そらる×まふまふ),１・２・３,１・２・３,AqnNLbK9rrc,2606067,13790,0.53,0,1906.4,1367
350,『おかあさんといっしょ』,ぼよよん行進曲,♪ぼよよん行進曲 - どんなたいへんな ことがおきたって〜🎵〈振り付き〉（NHK Eテレ「おかあさんといっしょ」より）,O5Ht4CMkYG4,2943578,8115,0.28,144,1902.8,1547
351,緑黄色社会,始まりの歌,緑黄色社会『始まりの歌』Official Video / Ryokuoushoku Shakai – Hajimarino Uta,cjf9c6TwH6o,5827527,39744,0.68,1348,1887.8,3087
352,『おかあさんといっしょ』,ドンスカパンパンおうえんだん,♪ドンスカパンパンおうえんだん〈振り付き〉ドンスカドン　ドンスカドン　ドンスカドンスカ　ドンドンドン～♪【おかあさんといっしょ・おかいつ】,BroJdJsFC6Y,1556830,1389,0.09,0,1855.6,839
353,赤血球(CV:花澤香菜)・白血球(CV:前野智昭),ミッション!健・康・第・イチ,ミッション！ 健・康・第・イチ,oUvD1aGDycM,535360,4686,0.88,0,1852.5,289
354,石井あみ＆後本萌葉,しあわせえぼりゅ～しょん♡,しあわせえぼりゅ～しょん♡ ～こむぎ＆いろはVer.～,DRi7GdbkOBI,794820,4150,0.52,0,1774.2,448
355,山内 惠介,イチカバチカ,TVアニメ「はなかっぱ」EDテーマ「イチカバチカ」映像,hyNymq0bLmc,1520064,3446,0.23,0,1681.5,904
356,asmi,こっち向いてほい,こっち向いてほい - asmi (Official Music Video),JYgWfE10Pt0,608899,10810,1.78,172,1602.4,380
357,フォーエイト48,えびぞりターン!,【MV】フォーエイト48 – えびぞりターン！（Official Music Video）,lhjSMaV18Is,638715,9152,1.43,473,1485.4,430
358,AMPTAKxCOLORS,恋うらら,【MV】恋うらら／AMPTAKxCOLORS【アンプタック】,7sYWi7_gBsI,930618,14874,1.6,1920,1362.5,683
359,9Lana,Let me battle,【公式】アニメ「ポケットモンスター　テラスタルデビュー」エンディングテーマ「Let me battle」,Pq3RedHvV-A,821686,0,0.0,0,1349.2,609
360,坂田 おさむ,にじのむこうに,にじのむこうに（おかあさんといっしょ）／坂田おさむ＆坂田めぐみ,N1DZ0GCgIhA,1335178,4204,0.31,203,1291.3,1034
361,IMP.,CRUISIN',Cruisin' (Single Edit),Vq5bO1U0jtQ,3943698,38502,0.98,198,1222.9,3225
362,吉澤 嘉代子,月曜日戦争,吉澤嘉代子「月曜日戦争」MUSIC VIDEO,kh3H0M9bKo8,3769330,85417,2.27,871,1202.0,3136
363,合唱,この地球のどこかで,【合唱】この地球のどこかで (歌詞付き),rzym4THJtcI,2328991,11328,0.49,882,830.0,2806
364,すとぷり,生まれたその時から,生まれたその時から,hdWov4QwjzM,433409,17279,3.99,452,779.5,556
365,コロムビア・オーケストラ,プリキュア5、スマイル go go!,プリキュア5、スマイル go go！,tAk0D14F_UM,1553531,8603,0.55,0,755.2,2057
366,大野克夫バンド,「名探偵コナン」メイン・テーマ,コナンBGM No 1　「名探偵コナン　メイン･テーマ」,1XWe2MBaLRI,3315301,21213,0.64,982,740.4,4478
367,深澤 恵梨香,HAPPY≒FUTURE,Happy≒Future,Z4UX7UMU1LU,288520,1839,0.64,0,674.1,428
368,Girls2 x iScream,D.N.A.,DNA.,ue4xoNqdc2I,1718675,25783,1.5,183,637.7,2695
369,CANDY TUNE,キス・ミー・パティシエ,キス・ミー・パティシエ,HFC-Zrfsab4,124259,707,0.57,3,519.9,239
370,むくえな,おやすみロマンス,おやすみロマンス / むくえな（Official Music Video）,kRC6jAgrT2I,582705,16447,2.82,818,475.7,1225
371,赤血球(CV:花澤香菜)・白血球(CV:前野智昭) 他,GO!GO!細胞フェスタ,GO!GO!細胞フェスタ,spGg6e2GUR4,331088,2033,0.61,0,204.9,1616
372,yama×ぼっちぼろまる,ハロ,【複合MAD】ハロ,xesQ3qZLk1Y,27430,645,2.35,28,123.0,223
373,合唱,たいようのサンバ,たいようのサンバ,5JMCv6Q8OEM,177738,733,0.41,0,65.5,2712
