id,song_name,artist_name,video_id,video_title,view_count,like_count,comment_count,support_rate,engagement_rate,published_at,release_date,tags,difficulty,release_status
10010714,かくれんぼ,AliA,oi8ArKYLwBY,AliA / かくれんぼ【Official Music Video】,98824237,793074,19722,0.8,0.82,2019-02-13T12:00:43Z,2024/08/30,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10011666,Steal a Kiss,超特急,1maL_bJe5u8,超特急「Steal a Kiss」MUSIC VIDEO,6183335,26952,2363,0.44,0.47,2024-04-17T11:00:02Z,2024/08/29,"[""ポップス""]",かんたん：3むずかしい：6げきむず：0,リリース
10011598,Alpha,なにわ男子,Olr7YwLu3kQ,なにわ男子 - Alpha [Official Music Video],15051709,111620,15429,0.74,0.84,2024-05-07T10:28:07Z,2024/08/27,"[""ポップス""]",かんたん：3むずかしい：6げきむず：0,リリース
20010078,「名探偵コナン」メイン・テーマ,大野克夫バンド,LSKFSNK1pYk,アニソン『名探偵コナン メインテーマ／大野克夫』これから君もサックスプレイヤー！ POPS編／ 島村楽器川崎ルフロン店 吉田隆広,177773,757,20,0.43,0.44,2016-05-13T04:22:10Z,2024/08/24,"[""アニメ""]",かんたん：3むずかしい：6げきむず：0,リリース
10012261,BON,Number_i,0kKd6fVPayU,Number_i - BON (Official Music Video),82164101,241925,349304,0.29,0.72,2024-05-26T15:00:08Z,2024/08/23,"[""ポップス""]",かんたん：4むずかしい：7げきむず：0,リリース
10010466,マツケンサンバII,松平健,XazyhnymUQo,【公式】松平健「マツケンサンバⅡ」 MV,32462359,243838,15428,0.75,0.8,2020-12-21T10:00:20Z,2024/08/09,"[""ポップス""]",かんたん：3むずかしい：6げきむず：0,リリース
10012161,Dear,Mrs. GREEN APPLE,cNP21cprtbk,Mrs. GREEN APPLE「Dear」Official Music Video,28836198,197632,8955,0.69,0.72,2024-05-20T12:00:08Z,2024/08/12,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10011509,わんだふるぷりきゅあ!EVOLUTION!!,吉武千颯,iQxl-nohiqA,わんだふるぷりきゅあ！evolution!!,1697601,8322,0,0.49,0.49,2024-04-26T10:03:00Z,2024/04/07,"[""キッズ"", ""アニメ""]",かんたん：1むずかしい：5げきむず：0,リリース
10010590,君をのせて,井上あずみ,SEtbAEjanWo,君をのせて 天空の城ラピュタ 井上あずみ,34935825,130705,5349,0.37,0.39,2017-08-16T11:46:06Z,2024/05/28,"[""アニメ""]",かんたん：2むずかしい：4げきむず：0,リリース
10011565,おやすみロマンス,むくえな,kRC6jAgrT2I,おやすみロマンス / むくえな（Official Music Video）,583295,16449,818,2.82,2.96,2022-08-05T11:00:13Z,2024/08/22,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10012496,誓いの花束を～With You～,すとぷり,-LZJKbYIiCo,【MV】誓いの花束を～With You～／すとぷり【HoneyWorks】,6848053,130829,9859,1.91,2.05,2024-06-09T12:30:07Z,2024/08/18,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10012495,雨天決行,すとぷり,_jGlfq85PJA,【MV】雨天決行／すとぷり,3232814,41630,5749,1.29,1.47,2024-06-16T11:55:21Z,2024/08/17,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10012095,さよーならまたいつか!,米津 玄師,-wb2PAx6aEs,"米津玄師 - さよーならまたいつか！ Kenshi Yonezu - Sayonara, Mata Itsuka !",109870951,608761,28669,0.55,0.58,2024-04-11T23:14:57Z,2024/08/16,"[""ポップス""]",かんたん：3むずかしい：6げきむず：0,リリース
10011590,この地球のどこかで,合唱,rzym4THJtcI,【合唱】この地球のどこかで (歌詞付き),2338279,11362,884,0.49,0.52,2018-04-07T10:13:23Z,2024/08/15,"[""キッズ""]",かんたん：2むずかしい：5げきむず：0,リリース
20010023,Bling-Bang-Bang-Born,Creepy Nuts,mLW35YMzELE,Creepy Nuts｢Bling-Bang-Bang-Born｣ × TV Anime｢マッシュル-MASHLE-｣ Collaboration Music Video #BBBBダンス,437869010,2658109,47814,0.61,0.62,2024-03-03T09:00:37Z,2024/01/27,"[""アニメ""]",かんたん：3むずかしい：7げきむず：0,リリース
10011319,不思議,星野 源,ilnLczvLGAY,星野源 – 不思議 (Official Video),46145721,260779,8732,0.57,0.58,2021-05-30T12:00:13Z,2024/04/11,"[""ポップス""]",かんたん：2むずかしい：5げきむず：0,リリース
10011315,Dangerholic,Snow Man,i-PnC1tYnGM,Snow Man「Dangerholic」Music Video YouTube Ver.,81738864,0,42108,0.0,0.05,2023-07-28T14:00:09Z,2024/05/06,"[""ポップス""]",かんたん：2むずかしい：6げきむず：0,リリース
10011143,ぼくらの,Eve,exOi_zsOHwM,ぼくらの (Bokurano) - Eve Music Video,22294126,315384,6420,1.41,1.44,2023-02-24T10:00:09Z,2024/05/02,"[""アニメ""]",かんたん：3むずかしい：6げきむず：0,リリース
10011114,ひとりごつ,ハチワレ（CV：田中誠人）,X-EGAILdOG8,ひとりごつ MV【ちいかわMAD】【Music Video】,4244903,33887,496,0.8,0.81,2023-03-31T11:48:42Z,2024/04/13,"[""アニメ""]",かんたん：1むずかしい：4げきむず：0,リリース
