順位,release_date,アーティスト名,曲名,動画タイトル,Video ID,再生数,高評価数,支持率(%),コメント数,急上昇度(views/day),公開日数,最適投稿日時,予測視聴数,信頼度スコア
307,2025/02/19,緑黄色社会,僕らはいきものだから,緑黄色社会『僕らはいきものだから』Official Video / Ryokuoushoku Shakai – Bokurawa Ikimonodakara,h5uP8eqKah8,3616505,29599,0.82,580,8001.1,452,,0,0.0
308,2025/08/30,STPR Creators,STAR to STPR,【MV】STAR to STPR ／ STPR Creators,AJeElzV6Bbo,3525851,62223,1.76,12956,13561.0,260,,0,0.0
309,2025/01/03,ZEROBASEONE,Only One Story,【公式】アニメ「ポケットモンスター レックウザ ライジング」オープニングテーマ「Only One Story」,tsBmIw4OuSs,3520234,0,0.0,0,8167.6,431,,0,0.0
310,2024/07/27,ハムちゃんず,ハム太郎とっとこうた,【アニメ】「ハム太郎とっとこうた」　（歌：ハムちゃんず）【公式】とっとこハム太郎のオープニングテーマ曲　その１,Lg96zmH7D7w,3468420,25258,0.73,914,2286.4,1517,,0,0.0
311,2024/04/27,コレサワ,♡人生♡,コレサワ「♡人生♡」【Lyric Video】,WNISLPMUz1E,3417236,26822,0.78,342,5714.4,598,,0,0.0
312,2024/08/24,大野克夫バンド,「名探偵コナン」メイン・テーマ,コナンBGM No 1　「名探偵コナン　メイン･テーマ」,1XWe2MBaLRI,3321404,21240,0.64,982,741.1,4482,,0,0.0
313,2024/12/17,ざらめ,六等星,六等星,5Y-2neQjQLw,3301786,22566,0.68,178,6398.8,516,,0,0.0
314,2024/08/17,すとぷり,雨天決行,【MV】雨天決行／すとぷり,_jGlfq85PJA,3227449,41591,1.29,5749,5889.5,548,,0,0.0
315,2025/01/24,MYERA,Lie ライ Lie ライ,MYERA “Lie ライ Lie ライ” Official MusicVideo,TUY3F-59ctw,3216981,0,0.0,2245,9191.4,350,,0,0.0
316,2024/10/22,「おかあさんといっしょ」より,きんらきらぽん,きんらきらぽん（新エンディング）NHK Eテレおかあさんといっしょ,VodLbh7S734,3122830,3276,0.1,0,2330.5,1340,,0,0.0
317,2025/01/29,DISH//,朝、月面も笑っている,DISH// - 朝、月面も笑っている [Official Video]｜フジテレビ系「めざましテレビ」テーマソング,LFG_iqpGMss,3048662,16555,0.54,758,5583.6,546,,0,0.0
318,2025/03/11,AMPTAKxCOLORS,DOWN TOWN SWING,【MV】DOWN TOWN SWING ／AMPTAKxCOLORS【アンプタック】,hjtYICw0PFA,2986748,34691,1.16,3309,5520.8,541,,0,0.0
319,2024/05/05,『おかあさんといっしょ』,ぼよよん行進曲,♪ぼよよん行進曲 - どんなたいへんな ことがおきたって〜🎵〈振り付き〉（NHK Eテレ「おかあさんといっしょ」より）,O5Ht4CMkYG4,2950482,8130,0.28,144,1902.3,1551,,0,0.0
320,2025/05/31,『ユイカ』,おくすり,おくすり / 『ユイカ』【MV】,-qSqMSsJ4AE,2944611,37884,1.29,1451,9377.7,314,,0,0.0
321,2025/02/01,超ときめき♡宣伝部,こんなあたしはいかがですか,超ときめき♡宣伝部 / 「こんなあたしはいかがですか」Music Video,9x-EEsp9MwI,2897505,24254,0.84,1765,6833.7,424,,0,0.0
322,2022/06/01,After the Rain (そらる×まふまふ),１・２・３,１・２・３,AqnNLbK9rrc,2617228,13870,0.53,0,1907.6,1372,,0,0.0
323,2025/03/16,AMPTAKxCOLORS,うわーーー！！！！！！,【MV】うわーーー！！！！！！／AMPTAKxCOLORS【アンプタック】,XXXvtvj0MfQ,2568063,39922,1.55,3093,5890.1,436,,0,0.0
324,2025/08/31,Wienners,WINNER！ゴジュウジャー！,Wienners - WINNER！ゴジュウジャー！＜『ナンバーワン戦隊ゴジュウジャー』オープニング・テーマ＞ [Official Audio],VaPUPgH1-zM,2555417,11822,0.46,512,9394.9,272,,0,0.0
325,2025/03/01,莉犬,へんしん！,【MV】へんしん!／莉犬【村井の恋OP】,1XZ_t2xtWMk,2528930,56365,2.23,6417,6079.2,416,,0,0.0
326,2024/12/21,AMPTAKxCOLORS,ぶんぶぶんぶぶん,【MV】ぶんぶぶんぶぶん／AMPTAKxCOLORS【アンプタック】,1DaaXdx37So,2518492,30717,1.22,3052,3120.8,807,,0,0.0
327,2024/08/15,合唱,この地球のどこかで,【合唱】この地球のどこかで (歌詞付き),rzym4THJtcI,2332705,11334,0.49,882,830.1,2810,,0,0.0
